# wavelength(nm) flux flux_error
1.922546213260577360e+03 nan nan
1.922552805028955163e+03 nan nan
1.922559396668383215e+03 nan nan
1.922565988178857879e+03 nan nan
1.922572579560374834e+03 nan nan
1.922579170812931125e+03 nan nan
1.922585761936523113e+03 nan nan
1.922592352931146479e+03 nan nan
1.922598943796798039e+03 nan nan
1.922605534533473929e+03 nan nan
1.922612125141170509e+03 nan nan
1.922618715619883915e+03 nan nan
1.922625305969610963e+03 nan nan
1.922631896190347106e+03 nan nan
1.922638486282089389e+03 nan nan
1.922645076244833945e+03 nan nan
1.922651666078576909e+03 nan nan
1.922658255783314644e+03 nan nan
1.922664845359043511e+03 nan nan
1.922671434805760100e+03 nan nan
1.922678024123460091e+03 nan nan
1.922684613312140300e+03 nan nan
1.922691202371796635e+03 nan nan
1.922697791302425912e+03 nan nan
1.922704380104024267e+03 nan nan
1.922710968776587833e+03 nan nan
1.922717557320112974e+03 nan nan
1.922724145734595822e+03 nan nan
1.922730734020033424e+03 nan nan
1.922737322176421230e+03 nan nan
1.922743910203756059e+03 nan nan
1.922750498102033816e+03 nan nan
1.922757085871251320e+03 nan nan
1.922763673511404477e+03 nan nan
1.922770261022489649e+03 nan nan
1.922776848404503653e+03 nan nan
1.922783435657441942e+03 nan nan
1.922790022781301332e+03 nan nan
1.922796609776078185e+03 nan nan
1.922803196641768864e+03 nan nan
1.922809783378369275e+03 nan nan
1.922816369985876236e+03 nan nan
1.922822956464285426e+03 nan nan
1.922829542813593662e+03 nan nan
1.922836129033797533e+03 nan nan
1.922842715124892720e+03 nan nan
1.922849301086875585e+03 nan nan
1.922855886919742716e+03 nan nan
1.922862472623490476e+03 nan nan
1.922869058198114999e+03 nan nan
1.922875643643612420e+03 nan nan
1.922882228959979329e+03 nan nan
1.922888814147212088e+03 nan nan
1.922895399205306830e+03 nan nan
1.922901984134260147e+03 nan nan
1.922908568934067944e+03 nan nan
1.922915153604727038e+03 nan nan
1.922921738146233110e+03 nan nan
1.922928322558582749e+03 nan nan
1.922934906841772545e+03 nan nan
1.922941490995798404e+03 nan nan
1.922948075020657143e+03 nan nan
1.922954658916344670e+03 nan nan
1.922961242682857119e+03 nan nan
1.922967826320191534e+03 nan nan
1.922974409828343369e+03 nan nan
1.922980993207309893e+03 nan nan
1.922987576457086334e+03 nan nan
1.922994159577669961e+03 nan nan
1.923000742569056229e+03 nan nan
1.923007325431242180e+03 nan nan
1.923013908164223949e+03 nan nan
1.923020490767997671e+03 nan nan
1.923027073242559936e+03 nan nan
1.923033655587906878e+03 nan nan
1.923040237804034632e+03 nan nan
1.923046819890939787e+03 nan nan
1.923053401848618250e+03 nan nan
1.923059983677067066e+03 nan nan
1.923066565376282142e+03 nan nan
1.923073146946259612e+03 nan nan
1.923079728386996067e+03 nan nan
1.923086309698487867e+03 nan nan
1.923092890880731147e+03 nan nan
1.923099471933722043e+03 nan nan
1.923106052857457371e+03 nan nan
1.923112633651933265e+03 nan nan
1.923119214317145634e+03 nan nan
1.923125794853091293e+03 nan nan
1.923132375259766377e+03 nan nan
1.923138955537167476e+03 nan nan
1.923145535685290270e+03 nan nan
1.923152115704131802e+03 nan nan
1.923158695593687980e+03 nan nan
1.923165275353955167e+03 nan nan
1.923171854984929723e+03 nan nan
1.923178434486607784e+03 nan nan
1.923185013858986167e+03 nan nan
1.923191593102060551e+03 nan nan
1.923198172215827753e+03 nan nan
1.923204751200283908e+03 nan nan
1.923211330055425378e+03 nan nan
1.923217908781248298e+03 nan nan
1.923224487377749256e+03 nan nan
1.923231065844924387e+03 nan nan
1.923237644182770055e+03 nan nan
1.923244222391282619e+03 nan nan
1.923250800470458444e+03 nan nan
1.923257378420293662e+03 nan nan
1.923263956240785092e+03 nan nan
1.923270533931928185e+03 nan nan
1.923277111493719985e+03 nan nan
1.923283688926156628e+03 nan nan
1.923290266229234703e+03 nan nan
1.923296843402949889e+03 nan nan
1.923303420447298549e+03 nan nan
1.923309997362277727e+03 nan nan
1.923316574147883330e+03 nan nan
1.923323150804111265e+03 nan nan
1.923329727330958576e+03 nan nan
1.923336303728421171e+03 nan nan
1.923342879996495640e+03 nan nan
1.923349456135177888e+03 nan nan
1.923356032144464734e+03 nan nan
1.923362608024352312e+03 nan nan
1.923369183774836529e+03 nan nan
1.923375759395914429e+03 nan nan
1.923382334887581464e+03 nan nan
1.923388910249834908e+03 nan nan
1.923395485482670665e+03 nan nan
1.923402060586084644e+03 nan nan
1.923408635560073890e+03 nan nan
1.923415210404634081e+03 nan nan
1.923421785119762035e+03 nan nan
1.923428359705453886e+03 nan nan
1.923434934161705996e+03 nan nan
1.923441508488514728e+03 nan nan
1.923448082685876216e+03 nan nan
1.923454656753786821e+03 nan nan
1.923461230692242907e+03 nan nan
1.923467804501241289e+03 nan nan
1.923474378180777421e+03 nan nan
1.923480951730848346e+03 nan nan
1.923487525151449745e+03 nan nan
1.923494098442578661e+03 nan nan
1.923500671604230774e+03 nan nan
1.923507244636402902e+03 nan nan
1.923513817539090724e+03 nan nan
1.923520390312291511e+03 nan nan
1.923526962956000716e+03 nan nan
1.923533535470215384e+03 nan nan
1.923540107854930966e+03 nan nan
1.923546680110144507e+03 nan nan
1.923553252235852369e+03 nan nan
1.923559824232050232e+03 nan nan
1.923566396098735368e+03 nan nan
1.923572967835903228e+03 nan nan
1.923579539443550402e+03 nan nan
1.923586110921673480e+03 nan nan
