# wavelength(nm) flux flux_error
1.922546613578873576e+03 nan nan
1.922553195157711571e+03 nan nan
1.922559776615293003e+03 nan nan
1.922566357951614009e+03 nan nan
1.922572939166670039e+03 nan nan
1.922579520260457457e+03 nan nan
1.922586101232972169e+03 nan nan
1.922592682084209855e+03 nan nan
1.922599262814166423e+03 nan nan
1.922605843422838007e+03 nan nan
1.922612423910220286e+03 nan nan
1.922619004276309170e+03 nan nan
1.922625584521100791e+03 nan nan
1.922632164644590603e+03 nan nan
1.922638744646774967e+03 nan nan
1.922645324527649564e+03 nan nan
1.922651904287210300e+03 nan nan
1.922658483925453083e+03 nan nan
1.922665063442373821e+03 nan nan
1.922671642837968648e+03 nan nan
1.922678222112233016e+03 nan nan
1.922684801265163060e+03 nan nan
1.922691380296754687e+03 nan nan
1.922697959207003805e+03 nan nan
1.922704537995906321e+03 nan nan
1.922711116663458142e+03 nan nan
1.922717695209655176e+03 nan nan
1.922724273634493102e+03 nan nan
1.922730851937968282e+03 nan nan
1.922737430120076169e+03 nan nan
1.922744008180813125e+03 nan nan
1.922750586120174376e+03 nan nan
1.922757163938156509e+03 nan nan
1.922763741634754979e+03 nan nan
1.922770319209965919e+03 nan nan
1.922776896663785237e+03 nan nan
1.922783473996208613e+03 nan nan
1.922790051207232182e+03 nan nan
1.922796628296851623e+03 nan nan
1.922803205265063298e+03 nan nan
1.922809782111862660e+03 nan nan
1.922816358837245843e+03 nan nan
1.922822935441208301e+03 nan nan
1.922829511923746395e+03 nan nan
1.922836088284856260e+03 nan nan
1.922842664524533348e+03 nan nan
1.922849240642773566e+03 nan nan
1.922855816639573050e+03 nan nan
1.922862392514927478e+03 nan nan
1.922868968268832987e+03 nan nan
1.922875543901285255e+03 nan nan
1.922882119412280190e+03 nan nan
1.922888694801813926e+03 nan nan
1.922895270069882372e+03 nan nan
1.922901845216481206e+03 nan nan
1.922908420241606336e+03 nan nan
1.922914995145254125e+03 nan nan
1.922921569927419796e+03 nan nan
1.922928144588099485e+03 nan nan
1.922934719127289327e+03 nan nan
1.922941293544985001e+03 nan nan
1.922947867841182870e+03 nan nan
1.922954442015878158e+03 nan nan
1.922961016069067000e+03 nan nan
1.922967590000745531e+03 nan nan
1.922974163810909431e+03 nan nan
1.922980737499555062e+03 nan nan
1.922987311066677421e+03 nan nan
1.922993884512273326e+03 nan nan
1.923000457836338001e+03 nan nan
1.923007031038867808e+03 nan nan
1.923013604119858655e+03 nan nan
1.923020177079305995e+03 nan nan
1.923026749917206416e+03 nan nan
1.923033322633555372e+03 nan nan
1.923039895228348769e+03 nan nan
1.923046467701582515e+03 nan nan
1.923053040053252516e+03 nan nan
1.923059612283354909e+03 nan nan
1.923066184391885599e+03 nan nan
1.923072756378840040e+03 nan nan
1.923079328244214594e+03 nan nan
1.923085899988005167e+03 nan nan
1.923092471610207440e+03 nan nan
1.923099043110817320e+03 nan nan
1.923105614489830941e+03 nan nan
1.923112185747243984e+03 nan nan
1.923118756883052356e+03 nan nan
1.923125327897252191e+03 nan nan
1.923131898789839170e+03 nan nan
1.923138469560809426e+03 nan nan
1.923145040210158641e+03 nan nan
1.923151610737882947e+03 nan nan
1.923158181143978027e+03 nan nan
1.923164751428440013e+03 nan nan
1.923171321591264586e+03 nan nan
1.923177891632447654e+03 nan nan
1.923184461551985351e+03 nan nan
1.923191031349873356e+03 nan nan
1.923197601026107805e+03 nan nan
1.923204170580684604e+03 nan nan
1.923210740013599434e+03 nan nan
1.923217309324848429e+03 nan nan
1.923223878514427270e+03 nan nan
