# wavelength(nm) flux flux_error
1.922546665513621747e+03 nan nan
1.922553245652396527e+03 nan nan
1.922559825675411275e+03 nan nan
1.922566405582662128e+03 nan nan
1.922572985374144082e+03 nan nan
1.922579565049853045e+03 nan nan
1.922586144609784924e+03 nan nan
1.922592724053934944e+03 nan nan
1.922599303382298785e+03 nan nan
1.922605882594872128e+03 nan nan
1.922612461691650424e+03 nan nan
1.922619040672629126e+03 nan nan
1.922625619537804369e+03 nan nan
1.922632198287171377e+03 nan nan
1.922638776920725832e+03 nan nan
1.922645355438463184e+03 nan nan
1.922651933840379115e+03 nan nan
1.922658512126469532e+03 nan nan
1.922665090296729431e+03 nan nan
1.922671668351155176e+03 nan nan
1.922678246289741764e+03 nan nan
1.922684824112484876e+03 nan nan
1.922691401819380189e+03 nan nan
1.922697979410423386e+03 nan nan
1.922704556885610145e+03 nan nan
1.922711134244935693e+03 nan nan
1.922717711488396162e+03 nan nan
1.922724288615986552e+03 nan nan
1.922730865627702997e+03 nan nan
1.922737442523540722e+03 nan nan
1.922744019303495861e+03 nan nan
1.922750595967562958e+03 nan nan
1.922757172515738830e+03 nan nan
1.922763748948018247e+03 nan nan
1.922770325264397343e+03 nan nan
1.922776901464871344e+03 nan nan
1.922783477549435929e+03 nan nan
1.922790053518086779e+03 nan nan
1.922796629370819346e+03 nan nan
1.922803205107629765e+03 nan nan
1.922809780728512806e+03 nan nan
1.922816356233464830e+03 nan nan
1.922822931622480837e+03 nan nan
1.922829506895556506e+03 nan nan
1.922836082052688198e+03 nan nan
1.922842657093870685e+03 nan nan
1.922849232019099873e+03 nan nan
1.922855806828371215e+03 nan nan
1.922862381521680391e+03 nan nan
1.922868956099023308e+03 nan nan
1.922875530560394964e+03 nan nan
1.922882104905791266e+03 nan nan
1.922888679135208122e+03 nan nan
1.922895253248640756e+03 nan nan
1.922901827246084849e+03 nan nan
1.922908401127536081e+03 nan nan
1.922914974892990131e+03 nan nan
1.922921548542442224e+03 nan nan
1.922928122075888268e+03 nan nan
1.922934695493323716e+03 nan nan
1.922941268794744474e+03 nan nan
1.922947841980145995e+03 nan nan
1.922954415049523732e+03 nan nan
1.922960988002873137e+03 nan nan
1.922967560840190345e+03 nan nan
1.922974133561470580e+03 nan nan
1.922980706166709979e+03 nan nan
1.922987278655903083e+03 nan nan
1.922993851029046482e+03 nan nan
1.923000423286135174e+03 nan nan
1.923006995427165066e+03 nan nan
1.923013567452131838e+03 nan nan
1.923020139361030942e+03 nan nan
1.923026711153858059e+03 nan nan
1.923033282830608869e+03 nan nan
1.923039854391278595e+03 nan nan
1.923046425835863147e+03 nan nan
1.923052997164357976e+03 nan nan
1.923059568376758989e+03 nan nan
1.923066139473061867e+03 nan nan
1.923072710453261379e+03 nan nan
1.923079281317354116e+03 nan nan
1.923085852065335075e+03 nan nan
1.923092422697200163e+03 nan nan
1.923098993212944833e+03 nan nan
1.923105563612564765e+03 nan nan
1.923112133896055639e+03 nan nan
1.923118704063412679e+03 nan nan
1.923125274114632020e+03 nan nan
1.923131844049708889e+03 nan nan
1.923138413868639191e+03 nan nan
1.923144983571418152e+03 nan nan
1.923151553158041906e+03 nan nan
1.923158122628505453e+03 nan nan
1.923164691982804925e+03 nan nan
1.923171261220935548e+03 nan nan
1.923177830342893230e+03 nan nan
1.923184399348673196e+03 nan nan
1.923190968238271353e+03 nan nan
1.923197537011683380e+03 nan nan
1.923204105668904731e+03 nan nan
1.923210674209931085e+03 nan nan
1.923217242634757895e+03 nan nan
1.923223810943380840e+03 nan nan
1.923230379135795829e+03 nan nan
1.923236947211997858e+03 nan nan
1.923243515171983063e+03 nan nan
1.923250083015746895e+03 nan nan
1.923256650743284808e+03 nan nan
1.923263218354592709e+03 nan nan
1.923269785849665595e+03 nan nan
1.923276353228500057e+03 nan nan
