# Wlen(nm) Flux Flux_err
1.921929811755348055e+03 1.009826811569124703e-02 1.650068732693850393e-04
1.921936305260236395e+03 1.072612606657688539e-02 1.650068732693850393e-04
1.921942996114297330e+03 1.094084744416811035e-02 1.650068732693850393e-04
1.921949534525729632e+03 1.090983390169765824e-02 1.650068732693850393e-04
1.921956150293081464e+03 1.074748399770766860e-02 1.650068732693850393e-04
1.921962763347987675e+03 1.008743323416635279e-02 1.650068732693850393e-04
1.921969303849425614e+03 1.037235145869126046e-02 1.650068732693850393e-04
1.921975991726908660e+03 9.800840509077696563e-03 1.650068732693850393e-04
1.921982484602574914e+03 9.911255965501131193e-03 1.650068732693850393e-04
1.921989191842555329e+03 1.032224549111498274e-02 1.650068732693850393e-04
1.921995712353217641e+03 1.125105536547829459e-02 1.650068732693850393e-04
1.922002343893678017e+03 1.043123593920814232e-02 1.650068732693850393e-04
1.922008939660279339e+03 9.388866203499659016e-03 1.650068732693850393e-04
1.922015495321898015e+03 9.118788837291379526e-03 1.650068732693850393e-04
1.922022166523657688e+03 1.006659530237031565e-02 1.650068732693850393e-04
1.922028658769577532e+03 1.000640833594771024e-02 1.650068732693850393e-04
1.922035380300550287e+03 1.056621222477569302e-02 1.650068732693850393e-04
1.922041885004179676e+03 9.072066215065665087e-03 1.650068732693850393e-04
1.922048530222420595e+03 9.424999490269226135e-03 1.650068732693850393e-04
1.922055110794853135e+03 8.518635053122119646e-03 1.650068732693850393e-04
1.922061679520926646e+03 8.596777561927263292e-03 1.650068732693850393e-04
1.922068336141499003e+03 8.619528165595065003e-03 1.650068732693850393e-04
1.922074828195934288e+03 9.306274081551862282e-03 1.650068732693850393e-04
1.922081561044014961e+03 1.065645911461965932e-02 1.650068732693850393e-04
1.922088052474515962e+03 1.108556266140444703e-02 1.650068732693850393e-04
1.922094709273836543e+03 1.093580431019670028e-02 1.650068732693850393e-04
1.922101276747610882e+03 1.104271633548381711e-02 1.650068732693850393e-04
1.922107856441037029e+03 1.008514604004602348e-02 1.650068732693850393e-04
1.922114500576331011e+03 9.536493196488110557e-03 1.650068732693850393e-04
1.922121002984275492e+03 9.245538740937071440e-03 1.650068732693850393e-04
1.922127723960575167e+03 8.714791657721624937e-03 1.650068732693850393e-04
1.922134214760126724e+03 8.695490618816666475e-03 1.650068732693850393e-04
1.922140881042447290e+03 8.638627699599723056e-03 1.650068732693850393e-04
1.922147437514449393e+03 8.923599849851844221e-03 1.650068732693850393e-04
1.922154026076748323e+03 8.519789424703659228e-03 1.650068732693850393e-04
1.922160659824050754e+03 8.458541865643296603e-03 1.650068732693850393e-04
1.922167170486625309e+03 8.354452747489660505e-03 1.650068732693850393e-04
1.922173881688829397e+03 9.355039779547191445e-03 1.650068732693850393e-04
1.922180371856906049e+03 8.929428094747558428e-03 1.650068732693850393e-04
1.922187045522770859e+03 8.915033866637297674e-03 1.650068732693850393e-04
1.922193593091263665e+03 8.880498524644050984e-03 1.650068732693850393e-04
1.922200188422578549e+03 9.011504804662314252e-03 1.650068732693850393e-04
1.922206813880552772e+03 9.005239529689557793e-03 1.650068732693850393e-04
1.922213330697497895e+03 8.265616555385723457e-03 1.650068732693850393e-04
1.922220034224671736e+03 7.317122564858785302e-03 1.650068732693850393e-04
1.922226523760746886e+03 6.768847053655471270e-03 1.650068732693850393e-04
1.922233202709319812e+03 6.567211775637816877e-03 1.650068732693850393e-04
1.922239743473944827e+03 5.709817828670288482e-03 1.650068732693850393e-04
1.922246343473038905e+03 5.139090115515530972e-03 1.650068732693850393e-04
1.922252962741726833e+03 6.615292424181838139e-03 1.650068732693850393e-04
1.922259483611406267e+03 6.836169678930812191e-03 1.650068732693850393e-04
1.922266181563991495e+03 7.202714830974439250e-03 1.650068732693850393e-04
1.922272670467538774e+03 7.519232715139949688e-03 1.650068732693850393e-04
1.922279352596603985e+03 7.945142624363120756e-03 1.650068732693850393e-04
1.922285888658380600e+03 8.328755909484945874e-03 1.650068732693850393e-04
1.922292491222637864e+03 7.995580792340011705e-03 1.650068732693850393e-04
1.922299106403459518e+03 7.800861544987232506e-03 1.650068732693850393e-04
1.922305629222855487e+03 8.440007343687419908e-03 1.650068732693850393e-04
1.922312323702673893e+03 8.755911246264723793e-03 1.650068732693850393e-04
1.922318811973166248e+03 9.068439042530710911e-03 1.650068732693850393e-04
1.922325495179128666e+03 9.337009972393501070e-03 1.650068732693850393e-04
1.922332028640456656e+03 9.753251784671066946e-03 1.650068732693850393e-04
1.922338631665878893e+03 9.831801085401215001e-03 1.650068732693850393e-04
1.922345244861635820e+03 9.563746147643228945e-03 1.650068732693850393e-04
1.922351767526349022e+03 8.703174797332296694e-03 1.650068732693850393e-04
1.922358460636603013e+03 9.202761980123493057e-03 1.650068732693850393e-04
1.922364948273512027e+03 9.952391327896938436e-03 1.650068732693850393e-04
1.922371630451394367e+03 1.006380981502907022e-02 1.650068732693850393e-04
1.922378163416054122e+03 9.954541246674950342e-03 1.650068732693850393e-04
1.922384764797262505e+03 1.019861607886077444e-02 1.650068732693850393e-04
1.922391378112136181e+03 1.013931725909446822e-02 1.650068732693850393e-04
1.922397898516384430e+03 1.042371031141580209e-02 1.650068732693850393e-04
1.922404592361657933e+03 9.591910147677464374e-03 1.650068732693850393e-04
1.922411079364456782e+03 9.984418685228733242e-03 1.650068732693850393e-04
1.922417758407897736e+03 1.014436386778470520e-02 1.650068732693850393e-04
1.922424292981051849e+03 1.024798438563028977e-02 1.650068732693850393e-04
1.922430890611283075e+03 1.131047127395506599e-02 1.650068732693850393e-04
1.922437506150838544e+03 1.181502253814931298e-02 1.650068732693850393e-04
1.922444022187456767e+03 1.132042012282670485e-02 1.650068732693850393e-04
1.922450718873716141e+03 1.175982443299166368e-02 1.650068732693850393e-04
1.922457205241876181e+03 1.105087432652969610e-02 1.650068732693850393e-04
1.922463879043130873e+03 1.111482283041383655e-02 1.650068732693850393e-04
1.922470417331325052e+03 1.044950320378897415e-02 1.650068732693850393e-04
1.922477009102431566e+03 1.033945962744394279e-02 1.650068732693850393e-04
1.922483628973616987e+03 9.841617431950045597e-03 1.650068732693850393e-04
1.922490138534056086e+03 1.037732901867112305e-02 1.650068732693850393e-04
1.922496840168651261e+03 1.079637991001411619e-02 1.650068732693850393e-04
1.922503325901644075e+03 1.043998056269655750e-02 1.650068732693850393e-04
1.922509992351581559e+03 1.040364921301628956e-02 1.650068732693850393e-04
1.922516536462746444e+03 9.149889170724543469e-03 1.650068732693850393e-04
1.922523120265195530e+03 9.242772855572629898e-03 1.650068732693850393e-04
1.922529746576343086e+03 9.245159134544930074e-03 1.650068732693850393e-04
1.922536247550666985e+03 8.739683925903751066e-03 1.650068732693850393e-04
1.922542956242333275e+03 9.466681672813443207e-03 1.650068732693850393e-04
1.922549441339629084e+03 9.419751702811134456e-03 1.650068732693850393e-04
1.922556098327734389e+03 9.821830080444158423e-03 1.650068732693850393e-04
1.922562650371184191e+03 9.712243337872536117e-03 1.650068732693850393e-04
1.922569224094057518e+03 9.593120776828020432e-03 1.650068732693850393e-04
1.922575858954885234e+03 8.954969810116569437e-03 1.650068732693850393e-04
1.922582349231771104e+03 8.453480567761411865e-03 1.650068732693850393e-04
1.922589067090629442e+03 8.545414998448469177e-03 1.650068732693850393e-04
1.922595551551699828e+03 8.808252528188117297e-03 1.650068732693850393e-04
1.922602196966068959e+03 8.636510958106979191e-03 1.650068732693850393e-04
1.922608759052505775e+03 8.992635599532439877e-03 1.650068732693850393e-04
1.922615320583495532e+03 9.481661562579049921e-03 1.650068732693850393e-04
1.922621966105107958e+03 1.022230448504345482e-02 1.650068732693850393e-04
1.922628450116412523e+03 1.095905524132272449e-02 1.650068732693850393e-04
1.922635166164729981e+03 1.159729659406153260e-02 1.650068732693850393e-04
1.922641656533718560e+03 1.192578842621823051e-02 1.650068732693850393e-04
1.922648288261060543e+03 1.232064655253469962e-02 1.650068732693850393e-04
1.922654862502572769e+03 1.200061897743899368e-02 1.650068732693850393e-04
1.922661409727983937e+03 1.216539888790280598e-02 1.650068732693850393e-04
1.922668068022873740e+03 1.278334358382966079e-02 1.650068732693850393e-04
1.922674551397046571e+03 1.403568273082339037e-02 1.650068732693850393e-04
1.922681252262492762e+03 1.317816937952097020e-02 1.650068732693850393e-04
1.922687756281546626e+03 1.268249147252036718e-02 1.650068732693850393e-04
1.922694372207179867e+03 1.231207408980744024e-02 1.650068732693850393e-04
1.922700960717245152e+03 1.276020465163566105e-02 1.650068732693850393e-04
1.922707491521993234e+03 1.302000821675895238e-02 1.650068732693850393e-04
1.922714164704040286e+03 1.266385767751811164e-02 1.650068732693850393e-04
1.922720647440550010e+03 1.243361473121764975e-02 1.650068732693850393e-04
1.922727331007458815e+03 1.283260997777085216e-02 1.650068732693850393e-04
1.922733850791040368e+03 1.187199490816166075e-02 1.650068732693850393e-04
1.922740448798894477e+03 1.097635002760676340e-02 1.650068732693850393e-04
1.922747053692379268e+03 1.059262173992563116e-02 1.650068732693850393e-04
1.922753565959988009e+03 1.024231158035660179e-02 1.650068732693850393e-04
1.922760256144463710e+03 9.923558487501470474e-03 1.650068732693850393e-04
1.922766738242779638e+03 1.008549583108852774e-02 1.650068732693850393e-04
1.922773402394092273e+03 8.828648552513989126e-03 1.650068732693850393e-04
1.922779940058054763e+03 7.759811356392825113e-03 1.650068732693850393e-04
1.922786518030666002e+03 6.275407784316493036e-03 1.650068732693850393e-04
1.922793141423827592e+03 5.128808594825578007e-03 1.650068732693850393e-04
1.922799633036430578e+03 4.706476485503138796e-03 1.650068732693850393e-04
1.922806342339995808e+03 4.369566602334089798e-03 1.650068732693850393e-04
1.922812823799586340e+03 2.951153012940219839e-03 1.650068732693850393e-04
1.922819466416852947e+03 3.197841474351708398e-03 1.650068732693850393e-04
1.922826024078439787e+03 4.044521752134402209e-03 1.650068732693850393e-04
1.922832579896953575e+03 4.977096320051191576e-03 1.650068732693850393e-04
1.922839223907440555e+03 5.760030768496216501e-03 1.650068732693850393e-04
1.922845704915492433e+03 7.043757724336904141e-03 1.650068732693850393e-04
1.922852411116568874e+03 7.990002351728931959e-03 1.650068732693850393e-04
1.922858904106818954e+03 8.395648530321004471e-03 1.650068732693850393e-04
1.922865523070195650e+03 8.346702614038746179e-03 1.650068732693850393e-04
1.922872102848044278e+03 9.256488127663777335e-03 1.650068732693850393e-04
1.922878634392212462e+03 9.383858852243270876e-03 1.650068732693850393e-04
1.922885301139065177e+03 9.224861276815777764e-03 1.650068732693850393e-04
1.922891781507482619e+03 8.825366896329487482e-03 1.650068732693850393e-04
1.922898462554174557e+03 8.531508516093267228e-03 1.650068732693850393e-04
1.922904979160323592e+03 7.732852305391565463e-03 1.650068732693850393e-04
1.922911572348572008e+03 7.493637709778434852e-03 1.650068732693850393e-04
1.922918176362711620e+03 7.396420612418383271e-03 1.650068732693850393e-04
1.922924681510889741e+03 7.369131595854078003e-03 1.650068732693850393e-04
1.922931373114545067e+03 7.167679774833951058e-03 1.650068732693850393e-04
1.922937852842794200e+03 7.145675761896210822e-03 1.650068732693850393e-04
1.922944506612874193e+03 5.721987364731095579e-03 1.650068732693850393e-04
1.922951048955941360e+03 4.478291496701005542e-03 1.650068732693850393e-04
1.922957614246428193e+03 4.108288539061498434e-03 1.650068732693850393e-04
1.922964244618283828e+03 4.312509127765004266e-03 1.650068732693850393e-04
1.922970723893971808e+03 4.873699494752884061e-03 1.650068732693850393e-04
1.922977437183136999e+03 5.494024145258022754e-03 1.650068732693850393e-04
1.922983918917268738e+03 6.617592517992095663e-03 1.650068732693850393e-04
1.922990543287113496e+03 7.900179795344087694e-03 1.650068732693850393e-04
1.922997113489511776e+03 8.715579105845768990e-03 1.650068732693850393e-04
1.923003648758207646e+03 9.698238661318997478e-03 1.650068732693850393e-04
1.923010307610598375e+03 1.060152968285728650e-02 1.650068732693850393e-04
1.923016786245207641e+03 1.108663072236145720e-02 1.650068732693850393e-04
1.923023468630959542e+03 1.184188395473229766e-02 1.650068732693850393e-04
1.923029979726742113e+03 1.205053475858177195e-02 1.650068732693850393e-04
1.923036572571329543e+03 1.167270250732184954e-02 1.650068732693850393e-04
1.923043172756870263e+03 1.186347481606932729e-02 1.650068732693850393e-04
1.923049675878347671e+03 1.224519433741670660e-02 1.650068732693850393e-04
1.923056365335491364e+03 1.247795812549403957e-02 1.650068732693850393e-04
1.923062843328487588e+03 1.197572559092384241e-02 1.650068732693850393e-04
1.923069492684812985e+03 1.096571957684295759e-02 1.650068732693850393e-04
1.923076035267047700e+03 1.225528216658726063e-02 1.650068732693850393e-04
1.923082594459959182e+03 1.320891890507627960e-02 1.650068732693850393e-04
1.923089226753850426e+03 1.325119436589068493e-02 1.650068732693850393e-04
1.923095704293260042e+03 1.359252434562593578e-02 1.650068732693850393e-04
1.923102409096670726e+03 1.362655692255321065e-02 1.650068732693850393e-04
1.923108895139642073e+03 1.374794606843568294e-02 1.650068732693850393e-04
1.923115509339129630e+03 1.308366689747234718e-02 1.650068732693850393e-04
1.923122085534016151e+03 1.263382967806957018e-02 1.650068732693850393e-04
1.923128608947432667e+03 1.293708633301616714e-02 1.650068732693850393e-04
1.923135275476280412e+03 1.392305864273576943e-02 1.650068732693850393e-04
1.923141752373163854e+03 1.427226064631700007e-02 1.650068732693850393e-04
1.923148420513870406e+03 1.431592222867148455e-02 1.650068732693850393e-04
1.923154941674499469e+03 1.464126975475103093e-02 1.650068732693850393e-04
1.923161518588337003e+03 1.516079372859714322e-02 1.650068732693850393e-04
1.923168130523474701e+03 1.497715770912014938e-02 1.650068732693850393e-04
1.923174616028176160e+03 1.428290175730034979e-02 1.650068732693850393e-04
1.923181318919986779e+03 1.472696247864833767e-02 1.650068732693850393e-04
1.923187795173809491e+03 1.473958612030750598e-02 1.650068732693850393e-04
1.923194424522005193e+03 1.395012416175175213e-02 1.650068732693850393e-04
1.923200982928884514e+03 1.496318525975218194e-02 1.650068732693850393e-04
1.923207520426858309e+03 1.481599671906948246e-02 1.650068732693850393e-04
1.923214170231246726e+03 1.448397124840990029e-02 1.650068732693850393e-04
1.923220646030455100e+03 1.386508151779114982e-02 1.650068732693850393e-04
1.923227326746445669e+03 1.236753997150621953e-02 1.650068732693850393e-04
1.923233832691018506e+03 1.227264678677838193e-02 1.650068732693850393e-04
1.923240421115495792e+03 1.305548594443664036e-02 1.650068732693850393e-04
1.923247018898618990e+03 1.159443321534371629e-02 1.650068732693850393e-04
1.923253514849113571e+03 1.195879740070660002e-02 1.650068732693850393e-04
1.923260204653153096e+03 1.150900734464007855e-02 1.650068732693850393e-04
1.923266679808384652e+03 1.236834255141524251e-02 1.650068732693850393e-04
1.923273318092096588e+03 1.296233185385392908e-02 1.650068732693850393e-04
1.923279864920611544e+03 1.402911339518027670e-02 1.650068732693850393e-04
1.923286410288759043e+03 1.517689160803853583e-02 1.650068732693850393e-04
1.923293049579521039e+03 1.541535217227514402e-02 1.650068732693850393e-04
1.923299524279489333e+03 1.490816208050323340e-02 1.650068732693850393e-04
1.923306211354665038e+03 1.586304169190435112e-02 1.650068732693850393e-04
1.923312708295730090e+03 1.433753862286706732e-02 1.650068732693850393e-04
1.923319302013555671e+03 1.343229972963648836e-02 1.650068732693850393e-04
1.923325891858403793e+03 1.314758351756446612e-02 1.650068732693850393e-04
1.923332392036206556e+03 1.232628142752518162e-02 1.650068732693850393e-04
1.923339074967406077e+03 1.232404328701960754e-02 1.650068732693850393e-04
1.923345549022481237e+03 1.193122691098669717e-02 1.650068732693850393e-04
1.923352190021506885e+03 1.123283031579341666e-02 1.650068732693850393e-04
1.923358731488305011e+03 1.175000922292670016e-02 1.650068732693850393e-04
1.923365278505232482e+03 1.141857166037842271e-02 1.650068732693850393e-04
1.923371913500207484e+03 1.199483722788956784e-02 1.650068732693850393e-04
1.923378387099369093e+03 1.254775213957059175e-02 1.650068732693850393e-04
1.923385074310615892e+03 1.332145518458596224e-02 1.650068732693850393e-04
1.923391568467730849e+03 1.338832697489176701e-02 1.650068732693850393e-04
1.923398161254596971e+03 1.405985879225183678e-02 1.650068732693850393e-04
1.923404749381919828e+03 1.457179467759449863e-02 1.650068732693850393e-04
1.923411247561530899e+03 1.403938523547911335e-02 1.650068732693850393e-04
1.923417929841833484e+03 1.306897997327724319e-02 1.650068732693850393e-04
1.923424402795184051e+03 1.359667195872479341e-02 1.650068732693850393e-04
1.923431040282302774e+03 1.401074063529227781e-02 1.650068732693850393e-04
1.923437582611046309e+03 1.340753254460102031e-02 1.650068732693850393e-04
1.923444125048337355e+03 1.319470008784237765e-02 1.650068732693850393e-04
1.923450761972381997e+03 1.227670877743942263e-02 1.650068732693850393e-04
1.923457234469167133e+03 1.206403728858812703e-02 1.650068732693850393e-04
1.923463915586349231e+03 1.125207988820311339e-02 1.650068732693850393e-04
1.923470413186089445e+03 1.137285497742272430e-02 1.650068732693850393e-04
1.923476998810665691e+03 1.045495549750567049e-02 1.650068732693850393e-04
1.923483591448232801e+03 1.056572445001847244e-02 1.650068732693850393e-04
1.923490081397125095e+03 1.034182259124558946e-02 1.650068732693850393e-04
1.923496769255494883e+03 1.009819842337563757e-02 1.650068732693850393e-04
1.923503241105550387e+03 9.546520235075517391e-03 1.650068732693850393e-04
1.923509868846513427e+03 9.260417918444339633e-03 1.650068732693850393e-04
1.923516418267888184e+03 1.014912489567679037e-02 1.650068732693850393e-04
1.923522949890098516e+03 9.352252300942918289e-03 1.650068732693850393e-04
1.923529594975092095e+03 9.574542856338604316e-03 1.650068732693850393e-04
1.923536066367930971e+03 1.049797744019439864e-02 1.650068732693850393e-04
1.923542735153879448e+03 1.049240377211460573e-02 1.650068732693850393e-04
1.923549242429847482e+03 1.031756321468324696e-02 1.650068732693850393e-04
1.923555814653768493e+03 1.124188992856732169e-02 1.650068732693850393e-04
1.923562418036379313e+03 1.175116459748069137e-02 1.650068732693850393e-04
1.923568893514991260e+03 1.132598870116375764e-02 1.650068732693850393e-04
1.923575593187422555e+03 1.037415815966633709e-02 1.650068732693850393e-04
1.923582063932611391e+03 1.008703509432669863e-02 1.650068732693850393e-04
1.923588675686131864e+03 9.695197593660182661e-03 1.650068732693850393e-04
1.923595238437854960e+03 8.877488320502649813e-03 1.650068732693850393e-04
1.923601753002500800e+03 9.322958220924123726e-03 1.650068732693850393e-04
1.923608412487359146e+03 9.187896255077878174e-03 1.650068732693850393e-04
1.923614882774677199e+03 9.252390017528122276e-03 1.650068732693850393e-04
1.923621532985183194e+03 9.272161635602540336e-03 1.650068732693850393e-04
1.923628056178018824e+03 8.525176951145999396e-03 1.650068732693850393e-04
1.923634608755877025e+03 8.612184016538381934e-03 1.650068732693850393e-04
1.923641229125367090e+03 7.927911028694549500e-03 1.650068732693850393e-04
1.923647698954544694e+03 7.516248877512381014e-03 1.650068732693850393e-04
1.923654386548916364e+03 7.610878274295435932e-03 1.650068732693850393e-04
1.923660871255367283e+03 6.389379306515877502e-03 1.650068732693850393e-04
1.923667460773112907e+03 6.111466577962575662e-03 1.650068732693850393e-04
1.923674043099945038e+03 7.080765726564363510e-03 1.650068732693850393e-04
1.923680534357494480e+03 6.388181791256481064e-03 1.650068732693850393e-04
1.923687214488174959e+03 5.240532012568628432e-03 1.650068732693850393e-04
1.923693683668398080e+03 6.185658834545287171e-03 1.650068732693850393e-04
1.923700309052200737e+03 6.454903435649798904e-03 1.650068732693850393e-04
1.923706854409588686e+03 6.598350082020192943e-03 1.650068732693850393e-04
1.923713381088924734e+03 5.608432095603683824e-03 1.650068732693850393e-04
1.923720024694178619e+03 4.221273479578476102e-03 1.650068732693850393e-04
1.923726493415606456e+03 4.036516944961723863e-03 1.650068732693850393e-04
1.923733153591131895e+03 4.492351525534170331e-03 1.650068732693850393e-04
1.923739663052793503e+03 4.438848450738223234e-03 1.650068732693850393e-04
1.923746224079374997e+03 4.719312708540694679e-03 1.650068732693850393e-04
1.923752832233127492e+03 4.768578986373821042e-03 1.650068732693850393e-04
1.923759300495488333e+03 3.667620643791299692e-03 1.650068732693850393e-04
1.923765994387896853e+03 2.813514489064966942e-03 1.650068732693850393e-04
1.923772469028054957e+03 2.298472090973354039e-03 1.650068732693850393e-04
1.923779063326835058e+03 2.109383219615684410e-03 1.650068732693850393e-04
1.923785637103515455e+03 1.664243328645706064e-03 1.650068732693850393e-04
1.923792131624808007e+03 4.406591878347690438e-04 1.650068732693850393e-04
1.923798804721766601e+03 7.735433237587468255e-04 1.650068732693850393e-04
1.923805272333866014e+03 6.223110850918358791e-04 1.650068732693850393e-04
1.923811898829293341e+03 -6.711605709830678113e-05 1.650068732693850393e-04
1.923818439303835930e+03 9.295360121585452334e-04 1.650068732693850393e-04
1.923824965576799286e+03 1.497545352649434910e-03 1.650068732693850393e-04
1.923831605816343654e+03 1.326139047142374907e-03 1.650068732693850393e-04
1.923838072968720780e+03 1.312637812898679321e-03 1.650068732693850393e-04
1.923844730584737817e+03 1.069254804624508899e-03 1.650068732693850393e-04
1.923851238832582567e+03 1.164668189896901802e-03 1.650068732693850393e-04
