# wavelength(nm) flux
1.923223878514427270e+03 1.064366723258487024e+00
1.923230447582332090e+03 1.064523760797322360e+00
1.923237016528558570e+03 1.064771767706316208e+00
1.923243585353102844e+03 1.065058172732188169e+00
1.923250154055960820e+03 1.065362951256482615e+00
1.923256722637128178e+03 1.065679339224825606e+00
1.923263291096601279e+03 1.066008224954278605e+00
1.923269859434375121e+03 1.066361732926985884e+00
1.923276427650446749e+03 1.066737043689040432e+00
1.923282995744811387e+03 1.067057504325260364e+00
1.923289563717465398e+03 1.067191739122978156e+00
1.923296131568404235e+03 1.067026680627533697e+00
1.923302699297623576e+03 1.066545975637523291e+00
1.923309266905120239e+03 1.065843663658252227e+00
1.923315834390889449e+03 1.065065742618646505e+00
1.923322401754927114e+03 1.064342236057910895e+00
1.923328968997229595e+03 1.063783012627288471e+00
1.923335536117792572e+03 1.063430880674476997e+00
1.923342103116611952e+03 1.063281971341587084e+00
1.923348669993683416e+03 1.063259445104207446e+00
1.923355236749003325e+03 1.063235423396347024e+00
1.923361803382567359e+03 1.063097734182554932e+00
1.923368369894371199e+03 1.062794163919904999e+00
1.923374936284411206e+03 1.062314101655342125e+00
1.923381502552682605e+03 1.061646065191700794e+00
1.923388068699182440e+03 1.060815468402562800e+00
1.923394634723905710e+03 1.059834918600180309e+00
1.923401200626848322e+03 1.058712218733245836e+00
1.923407766408006864e+03 1.057466210873739376e+00
1.923414332067376336e+03 1.056143322045482336e+00
1.923420897604953552e+03 1.054792247637947433e+00
1.923427463020733967e+03 1.053414289115018221e+00
1.923434028314713487e+03 1.051952152638459870e+00
1.923440593486888247e+03 1.050377551729388959e+00
1.923447158537253699e+03 1.048739339552411165e+00
1.923453723465806206e+03 1.047165677605662593e+00
1.923460288272541447e+03 1.045814945333876533e+00
1.923466852957455785e+03 1.044814935087358787e+00
1.923473417520544444e+03 1.044223342705857371e+00
1.923479981961803787e+03 1.044030170872486840e+00
1.923486546281229494e+03 1.044134976350653554e+00
1.923493110478817925e+03 1.044378908496030434e+00
1.923499674554564308e+03 1.044626019145793672e+00
1.923506238508465231e+03 1.044786483216596285e+00
1.923512802340515918e+03 1.044846297515406031e+00
1.923519366050712961e+03 1.044846870721931165e+00
1.923525929639051810e+03 1.044837269649323108e+00
1.923532493105528829e+03 1.044855000078581453e+00
1.923539056450139242e+03 1.044947325625508183e+00
1.923545619672879639e+03 1.045188696199528922e+00
1.923552182773745699e+03 1.045658999953227086e+00
1.923558745752733103e+03 1.046384087611596403e+00
1.923565308609838439e+03 1.047314918176065035e+00
1.923571871345056707e+03 1.048372844473882903e+00
1.923578433958384267e+03 1.049502986092774481e+00
1.923584996449817481e+03 1.050673718506592413e+00
1.923591558819351349e+03 1.051837859631803207e+00
1.923598121066982458e+03 1.052947330006825499e+00
1.923604683192706716e+03 1.053977013872464896e+00
1.923611245196519576e+03 1.054936813104093041e+00
1.923617807078417400e+03 1.055864888644944877e+00
1.923624368838396094e+03 1.056794244078113509e+00
1.923630930476451113e+03 1.057703925633049602e+00
1.923637491992578816e+03 1.058486160026171685e+00
1.923644053386775113e+03 1.059040341569967847e+00
1.923650614659035682e+03 1.059355951728554679e+00
1.923657175809356431e+03 1.059517141267299456e+00
1.923663736837733495e+03 1.059658127911064618e+00
1.923670297744163008e+03 1.059901448200803564e+00
1.923676858528640196e+03 1.060315261540936360e+00
1.923683419191161420e+03 1.060880898232429814e+00
1.923689979731722588e+03 1.061427875607125593e+00
1.923696540150319606e+03 1.061630226907048336e+00
1.923703100446948611e+03 1.061170659518873904e+00
1.923709660621604826e+03 1.059926355409688936e+00
1.923716220674284841e+03 1.058087868538647669e+00
1.923722780604984337e+03 1.056060538543004856e+00
1.923729340413698992e+03 1.054226304308113260e+00
1.923735900100425397e+03 1.052774903999138534e+00
1.923742459665159004e+03 1.051728733936211801e+00
1.923749019107895492e+03 1.050940562243735332e+00
1.923755578428631225e+03 1.050327703614664321e+00
1.923762137627361881e+03 1.049865139107226897e+00
1.923768696704083595e+03 1.049563565484060268e+00
1.923775255658792048e+03 1.049434281576008043e+00
1.923781814491483146e+03 1.049480348221616843e+00
1.923788373202153025e+03 1.049709802092894773e+00
1.923794931790797818e+03 1.050147255107677591e+00
1.923801490257412979e+03 1.050763470280860146e+00
1.923808048601994415e+03 1.051536535261193173e+00
1.923814606824538259e+03 1.052465671430992122e+00
1.923821164925040421e+03 1.053579362107248230e+00
1.923827722903496806e+03 1.054906505833312247e+00
1.923834280759903322e+03 1.056441291644681479e+00
1.923840838494255649e+03 1.058131727895648577e+00
1.923847396106550150e+03 1.059889842746586819e+00
1.923853953596782731e+03 1.061637477090485282e+00
1.923860510964948844e+03 1.063370713263136480e+00
1.923867068211044852e+03 1.065153583975738671e+00
1.923873625335066436e+03 1.067083900524052442e+00
1.923880182337009501e+03 1.069246108241949988e+00
1.923886739216870183e+03 1.071672791703265348e+00
1.923893295974644161e+03 1.074298901069500989e+00
1.923899852610327571e+03 1.076845142871750260e+00
