# Wlen(nm) Transmission Continuum
1.922285652208105830e+03 3.081217712421985624e-02 1.487935535667078979e-01
1.922292282209814630e+03 3.904124853918868043e-02 1.491959052955853793e-01
1.922298806631891011e+03 4.723324671083493215e-02 1.495908012858567782e-01
1.922305511783361681e+03 5.498511042485269146e-02 1.499955535380005922e-01
1.922312005292039430e+03 6.203434799925489768e-02 1.503864852905307525e-01
1.922318695900849661e+03 6.826653521047891526e-02 1.507882089516277002e-01
1.922325234143628450e+03 7.367550810534155559e-02 1.511797319181257260e-01
1.922331848607286020e+03 7.831510109997601166e-02 1.515747619308550342e-01
1.922338462486221260e+03 8.225509074918049834e-02 1.519686949492592420e-01
1.922345000603590734e+03 8.556106612191567706e-02 1.523570727460668572e-01
1.922351690319709405e+03 8.826986986372921395e-02 1.527533838913743836e-01
1.922358183102450312e+03 9.038133873750375802e-02 1.531369926243625057e-01
1.922364886430412298e+03 9.186935115877339908e-02 1.535319715974693133e-01
1.922371410213446779e+03 9.270183766563080963e-02 1.539153293158701807e-01
1.922378036708161972e+03 9.287220095535668463e-02 1.543036715964216099e-01
1.922384636815077783e+03 9.246206113964784701e-02 1.546894155685887839e-01
1.922391186275285690e+03 9.168264366834932844e-02 1.550711628806395181e-01
1.922397862907236458e+03 9.076897073794033821e-02 1.554592608832369993e-01
1.922404354963470951e+03 8.979686911968512431e-02 1.558356030835068851e-01
1.922411068657512942e+03 8.862037485314315510e-02 1.562237298302945609e-01
1.922417580332602483e+03 8.691382759162699645e-02 1.565991454775714775e-01
1.922424216504874948e+03 8.426457239951072598e-02 1.569806941411883427e-01
1.922430805191998843e+03 8.040470817456250863e-02 1.573584705670215411e-01
1.922437363641118736e+03 7.557200277828056423e-02 1.577334831539666249e-01
1.922444029541552709e+03 7.067554252052084263e-02 1.581135878457545496e-01
1.922450520870712353e+03 6.704323775068858626e-02 1.584827199635190642e-01
1.922457242576289218e+03 6.584713992775131919e-02 1.588638949480619955e-01
1.922463744496704521e+03 6.767414725752045335e-02 1.592315836176168009e-01
1.922470387991562575e+03 7.237441959513640777e-02 1.596062407495365543e-01
1.922476967612592262e+03 7.911501392243940056e-02 1.599762630778199524e-01
1.922483532695224540e+03 8.665090424792347423e-02 1.603444446366967535e-01
1.922490190218268026e+03 9.386687909724378276e-02 1.607167678312111103e-01
1.922496680819781659e+03 1.001473513822334072e-01 1.610787462797804437e-01
1.922503408180875340e+03 1.053531973334402155e-01 1.614528778551379273e-01
1.922509902701360261e+03 1.096049587091761091e-01 1.618130466702991099e-01
1.922516551162358382e+03 1.131255995019089938e-01 1.621807222121821046e-01
1.922523124072464498e+03 1.161149881806157885e-01 1.625431959540905857e-01
1.922529693431735041e+03 1.186833348446917208e-01 1.629044580057984193e-01
1.922536344932986367e+03 1.208761927394379626e-01 1.632692036114294920e-01
1.922542834988862978e+03 1.227272024170531634e-01 1.636240947373328314e-01
1.922549565282818548e+03 1.242680908568031678e-01 1.639910791206306839e-01
1.922556054942173432e+03 1.255257847842130847e-01 1.643439372894428263e-01
1.922562706011389764e+03 1.265310630538532544e-01 1.647045489257262241e-01
1.922569274567217690e+03 1.273163371289262602e-01 1.650596717683733838e-01
1.922575845844777632e+03 1.279100642447124347e-01 1.654139335441412173e-01
1.922582493681308961e+03 1.283336841661529282e-01 1.657712976776573588e-01
1.922588984965421560e+03 1.286023161954653049e-01 1.661192524090164824e-01
1.922595712284341062e+03 1.287247434612365238e-01 1.664788244888525115e-01
1.922602201214743673e+03 1.287048377703162438e-01 1.668246578481609732e-01
1.922608852532780929e+03 1.285413514266378621e-01 1.671781308925545384e-01
1.922615419092451020e+03 1.282269183266137591e-01 1.675260928124597815e-01
1.922621989928474250e+03 1.277488571218844127e-01 1.678732811401621727e-01
1.922628636458834990e+03 1.270913827037213339e-01 1.682234522403785182e-01
1.922635126610928637e+03 1.262380799860489122e-01 1.685643989099271933e-01
1.922641853313788715e+03 1.251735415328492085e-01 1.689167455966159581e-01
1.922648341514667663e+03 1.238909134177469118e-01 1.692556104385990190e-01
1.922654990720651313e+03 1.223988717245996227e-01 1.696018777204494066e-01
1.922661557643760034e+03 1.207118504476866194e-01 1.699428610970867559e-01
1.922668125676943191e+03 1.188304488579372126e-01 1.702829102876977085e-01
1.922674773261157952e+03 1.167324920207227085e-01 1.706260692288413539e-01
1.922681260946382736e+03 1.143711403908142382e-01 1.709599963980950599e-01
1.922687987339847950e+03 1.116691201811030043e-01 1.713051916704806388e-01
1.922694475837538448e+03 1.085265883592865244e-01 1.716371968717010643e-01
1.922701120569116028e+03 1.048443432320968760e-01 1.719761986223264649e-01
1.922707690216736637e+03 1.005348639244456610e-01 1.723103783516816701e-01
1.922714253084298434e+03 9.552450814702102833e-02 1.726432300856334534e-01
1.922720904083869755e+03 8.974446708213627832e-02 1.729795502910159988e-01
1.922727391038593396e+03 8.314012771541499924e-02 1.733066053053461397e-01
1.922734111285340759e+03 7.568391879303279501e-02 1.736444132922005668e-01
1.922740604178946569e+03 6.740432486162752090e-02 1.739698186769620680e-01
1.922747242072285417e+03 5.840652038925111394e-02 1.743015024159459969e-01
1.922753816806970690e+03 4.891607233477764105e-02 1.746290460242062303e-01
1.922760372144648954e+03 3.929983447565517374e-02 1.749546492375712858e-01
1.922767028922558666e+03 3.003397420500794265e-02 1.752842967932513041e-01
1.922773515146208183e+03 2.163413739777138647e-02 1.756045358447060334e-01
1.922780226881354110e+03 1.454687285283973869e-02 1.759349098469334960e-01
1.922786726534478248e+03 9.036816987339381727e-03 1.762538771021026351e-01
1.922793355224265269e+03 5.127561812089578841e-03 1.765781975236243306e-01
1.922799937410047505e+03 2.643088836802572582e-03 1.768992652807498955e-01
1.922806482852098725e+03 1.286277912339277426e-03 1.772175760515888321e-01
1.922813147772809316e+03 7.621180244524383349e-04 1.775407098199846545e-01
1.922819633264811728e+03 9.043192338658146258e-04 1.778541890636254341e-01
1.922826334121990840e+03 1.743224233330108088e-03 1.781770894755302093e-01
1.922832842899716752e+03 3.470050552678637795e-03 1.784897731128791132e-01
1.922839460019157286e+03 6.326300335544049122e-03 1.788066919719240866e-01
1.922846052021549667e+03 1.047761615610174994e-02 1.791214370053632876e-01
1.922852585200748763e+03 1.590527783449149565e-02 1.794324184399927191e-01
1.922859260630201788e+03 2.235468842805463791e-02 1.797491901734875885e-01
1.922865745389984340e+03 2.935091534450183157e-02 1.800559657273519409e-01
1.922872433001349236e+03 3.629421050491185574e-02 1.803713599228929654e-01
1.922878953270241709e+03 4.256467076644478847e-02 1.806779073927818613e-01
1.922885556451057710e+03 4.762254059650792432e-02 1.809873933913882516e-01
1.922892160637054758e+03 5.106112496561177744e-02 1.812959617997254580e-01
1.922898679184694629e+03 5.262293803124930974e-02 1.815995839189633032e-01
1.922905367490315712e+03 5.217317803420130212e-02 1.819101383737443678e-01
1.922911851517303376e+03 4.970801780710647905e-02 1.822102663187057658e-01
1.922918523513523269e+03 4.540302351838283734e-02 1.825181285377391049e-01
1.922925057641630247e+03 3.967162347814093964e-02 1.828186803428502594e-01
1.922931644514059599e+03 3.317402650444399581e-02 1.831207090162820517e-01
1.922938263252139677e+03 2.677358131860375912e-02 1.834232399830225957e-01
1.922944764798027109e+03 2.144160553574872910e-02 1.837194796082479709e-01
1.922951468348724347e+03 1.810032722856733459e-02 1.840239546579711671e-01
1.922957951642344142e+03 1.745765224786025374e-02 1.843174910379019316e-01
1.922964605652602131e+03 1.986414263170485639e-02 1.846178022722073098e-01
1.922971156009454717e+03 2.525350717539865189e-02 1.849124920812690587e-01
1.922977724202251238e+03 3.316393129516127802e-02 1.852070456842507262e-01
1.922984359862375868e+03 4.285533559275797599e-02 1.855036715915419632e-01
1.922990842637611649e+03 5.345033268542075111e-02 1.857925390478797345e-01
1.922997562598206059e+03 6.410481811606220937e-02 1.860910122508563913e-01
1.923004045760675808e+03 7.413946013097702514e-02 1.863780398020764006e-01
1.923010679412671152e+03 8.312697508732970475e-02 1.866707876816833533e-01
1.923017248369285426e+03 9.088565357683424384e-02 1.869597424432954957e-01
1.923023795509715228e+03 9.741562926259471344e-02 1.872468098360134947e-01
1.923030450463332045e+03 1.028176132616301086e-01 1.875376563784779405e-01
1.923036932504216793e+03 1.072388582483856656e-01 1.878200282068493709e-01
1.923043630427168637e+03 1.108313365175848109e-01 1.881108540217246161e-01
1.923050133867865952e+03 1.137301823011348106e-01 1.883923122452240417e-01
1.923056744787809293e+03 1.160508442206604485e-01 1.886774909243808251e-01
1.923063334716688132e+03 1.178847191879553030e-01 1.889608309808376296e-01
1.923069858430530530e+03 1.193028458308159484e-01 1.892404075151549181e-01
1.923076535050573966e+03 1.203615558629062693e-01 1.895255938137206941e-01
1.923083016356531289e+03 1.211049137209079113e-01 1.898015259571340374e-01
1.923089689866995286e+03 1.215654292620645671e-01 1.900847037742022794e-01
1.923096215959479423e+03 1.217671911902338672e-01 1.903607077179050033e-01
1.923102801772092789e+03 1.217281665014422337e-01 1.906383177611918056e-01
1.923109415047226094e+03 1.214624856120332663e-01 1.909161569622967181e-01
1.923115912958772242e+03 1.209848281454398849e-01 1.911882443677939691e-01
1.923122613619663070e+03 1.203163603223335459e-01 1.914678830834618817e-01
1.923129094190117712e+03 1.195029778670277099e-01 1.917374314477549302e-01
1.923135740911759285e+03 1.186304999642480706e-01 1.920129669863309685e-01
1.923142292031075613e+03 1.178131555944816611e-01 1.922836252869001283e-01
1.923148850359593325e+03 1.171504820180627321e-01 1.925536735553363688e-01
1.923155489356458929e+03 1.166932762032709403e-01 1.928261193722680122e-01
1.923161969407013657e+03 1.164310100569566769e-01 1.930911469560864790e-01
1.923168675847407485e+03 1.162931254572830142e-01 1.933645032237286399e-01
1.923175166000533181e+03 1.161672467979466827e-01 1.936281435437526011e-01
1.923181783555528455e+03 1.159463973559767408e-01 1.938960487382654641e-01
1.923188362078212094e+03 1.155686410241033718e-01 1.941614637350294881e-01
1.923194890544376904e+03 1.150197309760541964e-01 1.944239632720373978e-01
1.923201557639942394e+03 1.143136912368193370e-01 1.946911169112828521e-01
1.923208036954008094e+03 1.134792338777162318e-01 1.949498564166801118e-01
1.923214712544452823e+03 1.125487492940240586e-01 1.952155178063831875e-01
1.923221231783332996e+03 1.115475180593039906e-01 1.954740608260764068e-01
1.923227817792364704e+03 1.104901072714437188e-01 1.957343537119239640e-01
1.923234426096442803e+03 1.093833615906963930e-01 1.959946215608823483e-01
1.923240922320505433e+03 1.082271612260111010e-01 1.962495914782532436e-01
1.923247619893229285e+03 1.070157208358706036e-01 1.965115479955588940e-01
1.923254098470229337e+03 1.057439254007327967e-01 1.967640552272313659e-01
1.923260740830349505e+03 1.044093950688986805e-01 1.970220447084380655e-01
1.923267291534068590e+03 1.030116439475766005e-01 1.972755815912055066e-01
1.923273843616329486e+03 1.015518486288478628e-01 1.975282861909295751e-01
1.923280484081317809e+03 1.000315496244168212e-01 1.977834969785224051e-01
1.923286962137308592e+03 9.844979966164676966e-02 1.980315914478250339e-01
1.923293659656202863e+03 9.680444505648332087e-02 1.982871839058766295e-01
1.923300153951225639e+03 9.509432984204149730e-02 1.985341414819788708e-01
1.923306760699152846e+03 9.331695259607575288e-02 1.987844879297775147e-01
1.923313345248287078e+03 9.146633624459940548e-02 1.990331038509275952e-01
1.923319861021474480e+03 8.953667705233391005e-02 1.992782500599597773e-01
1.923326536028383771e+03 8.752560789368427074e-02 1.995284879172646852e-01
1.923333013346320968e+03 8.544085223738054347e-02 1.997704456404038875e-01
1.923339673566847523e+03 8.330956476635147101e-02 2.000183441955848962e-01
1.923346203392542748e+03 8.118421020304980584e-02 2.002605129903364534e-01
1.923352772144913843e+03 7.913072050671295099e-02 2.005032510713621041e-01
1.923359392921533527e+03 7.720575659604779484e-02 2.007470253321047560e-01
1.923365870001852045e+03 7.543533562765006306e-02 2.009846488048388502e-01
1.923372581933184847e+03 7.380673819296078297e-02 2.012299920214223881e-01
1.923379058512489564e+03 7.227337859031540690e-02 2.014658687016685767e-01
1.923385679050223416e+03 7.076903602495807077e-02 2.017061127336929049e-01
1.923392246789722094e+03 6.923077331746879670e-02 2.019435672765315659e-01
1.923398775161679396e+03 6.761832272865614391e-02 2.021787373349202555e-01
1.923405434549348684e+03 6.591633831852863890e-02 2.024177434763797523e-01
1.923411910606532274e+03 6.412411849123626773e-02 2.026493152172010315e-01
1.923418581735274074e+03 6.224740715868377905e-02 2.028869823017761254e-01
1.923425097631353765e+03 6.029478410717462045e-02 2.031182579531551902e-01
1.923431676100374943e+03 5.827215658064902049e-02 2.033508924377707971e-01
1.923438284138303288e+03 5.618288339405230064e-02 2.035837015794699500e-01
1.923444769743491406e+03 5.403371949819416736e-02 2.038113495226109850e-01
1.923451470127270568e+03 5.183619433442165220e-02 2.040456554399410205e-01
1.923457945444831694e+03 4.960953430805541131e-02 2.042712414918265995e-01
1.923464572815806378e+03 4.738153401258163311e-02 2.045012612243081451e-01
1.923471130698450679e+03 4.517935256048492831e-02 2.047280104308424054e-01
1.923477664711341049e+03 4.302245572590381040e-02 2.049530858256350951e-01
1.923484315433820711e+03 4.093120146782511931e-02 2.051813128523527763e-01
1.923490790228557444e+03 3.892826535850139186e-02 2.054026619495600003e-01
1.923497465305839569e+03 3.702639332779503190e-02 2.056299907030042784e-01
1.923503974228192192e+03 3.522560001795523033e-02 2.058508140578302892e-01
1.923510555452918652e+03 3.351662529107151539e-02 2.060732413878353653e-01
1.923517157709311732e+03 3.187739470856578577e-02 2.062955228848221412e-01
1.923523644877154311e+03 3.027255170862560782e-02 2.065130950150010636e-01
1.923530340671806925e+03 2.866695986026708207e-02 2.067367977625051978e-01
1.923536814725929844e+03 2.703837910760559585e-02 2.069522564149239297e-01
1.923543441966090541e+03 2.537962779255812165e-02 2.071719630736981732e-01
1.923549996952144511e+03 2.369551179508479211e-02 2.073884294621229640e-01
1.923556529640641202e+03 2.199505151313973367e-02 2.076033246253831122e-01
1.923563178659467894e+03 2.028591778774692031e-02 2.078211917791692731e-01
1.923569652190062470e+03 1.857478997315993238e-02 2.080324813836555153e-01
1.923576324248718720e+03 1.686688010479140201e-02 2.082493976450546236e-01
1.923582833160718337e+03 1.516445614737271623e-02 2.084601764360441978e-01
1.923589410172711268e+03 1.346884838593540891e-02 2.086723255882182715e-01
1.923596013612214847e+03 1.178337200176054339e-02 2.088844839653002106e-01
1.923602495373000465e+03 1.011613828818329168e-02 2.090919123694638393e-01
1.923609193544443542e+03 8.486558358466716329e-03 2.093054132915159182e-01
1.923615666333431818e+03 6.933739466123305280e-03 2.095109075854100500e-01
1.923622286471226289e+03 5.515477109100219710e-03 2.097202445211392985e-01
1.923628845528447755e+03 4.298926788453521011e-03 2.099268180700014086e-01
1.923635369919725463e+03 3.339959156879547964e-03 2.101314793940096126e-01
1.923642024203927804e+03 2.661077086024485252e-03 2.103393735414836041e-01
1.923648496468683106e+03 2.239503209770564093e-03 2.105407666160091784e-01
1.923655158534045086e+03 2.014609073561810394e-03 2.107472279390809611e-01
1.923661674406563179e+03 1.904903566758693470e-03 2.109483377692289996e-01
1.923668240229880439e+03 1.831256913340228391e-03 2.111501692702777155e-01
1.923674851824639290e+03 1.738750369275697755e-03 2.113525770871442500e-01
1.923681323564868762e+03 1.604619203777414484e-03 2.115498971605404011e-01
1.923688026359028072e+03 1.430396066699570574e-03 2.117534222543240308e-01
1.923694500244957453e+03 1.230257420563907059e-03 2.119491866658870793e-01
1.923701106301323762e+03 1.021975920158458380e-03 2.121481283688143316e-01
1.923707676404974336e+03 8.211474154194022641e-04 2.123451675015783635e-01
1.923714185518697377e+03 6.385854489470811158e-04 2.125395723534674042e-01
1.923720852044810499e+03 4.803991369561367046e-04 2.127378489708294795e-01
1.923727323042026455e+03 3.489878137449367612e-04 2.129295082897160740e-01
1.923733968131913116e+03 2.441254597366442460e-04 2.131255029573596860e-01
1.923740497943328364e+03 1.638397706892571646e-04 2.133172882847102214e-01
1.923747045594513565e+03 1.049555660556561113e-04 2.135087932257866694e-01
1.923753672324180798e+03 6.376277862959292043e-05 2.137017920617747258e-01
1.923760142796165155e+03 3.646534240209578921e-05 2.138894460972783906e-01
1.923766825719505505e+03 1.947860567012690478e-05 2.140824392008336685e-01
1.923773316438095890e+03 9.622247646762883828e-06 2.142690828632334010e-01
1.923779901426456490e+03 4.344921555916573559e-06 2.144576339775897955e-01
1.923786489559308393e+03 1.770774148057882082e-06 2.146454665476087154e-01
1.923792976407622064e+03 6.415159206896521739e-07 2.148296222836553193e-01
1.923799662159694662e+03 2.012264857027967265e-07 2.150186064417023701e-01
1.923806131887670062e+03 5.197363594047300187e-08 2.152006945905642343e-01
1.923812753012379289e+03 1.051105398652595537e-08 2.153862406290461551e-01
1.923819303748586663e+03 1.478010349516571305e-09 2.155690157518837524e-01
1.923825826236660532e+03 1.251726448210405482e-10 2.157502148026745614e-01
1.923832475088407364e+03 5.688402482264285286e-12 2.159341162421013205e-01
1.923838944290444033e+03 3.920135447411533046e-13 2.161122667468381164e-01
1.923845600350137147e+03 2.653458547765324375e-13 2.162947590974508283e-01
1.923852114890407165e+03 1.922835557342539965e-13 2.164725829247956534e-01
1.923858671816655260e+03 1.157906489619704243e-13 2.166507772625983763e-01
1.923865284969006098e+03 6.008518930866432218e-14 2.168297015386939919e-01
1.923871753644809814e+03 2.730535250270641748e-14 2.170039425388163579e-01
1.923878443437581609e+03 9.953091654844888527e-15 2.171833351969755799e-01
1.923884922983161232e+03 2.564032036401020520e-15 2.173563112431858846e-01
